date,cases.confirmed,cases.confirmed.todate,cases.active,cases.closed.todate,quarantine.confirmed,quarantine.confirmed.todate,quarantine.active,quarantine.closed,cases.attendees.confirmed,cases.attendees.confirmed.todate,cases.attendees.active,cases.attendees.closed,cases.employees.confirmed,cases.employees.confirmed.todate,cases.employees.active,cases.employees.closed
2020-09-01,12,12,12,0,0,0,0,0,9,9,9,0,3,3,3,0
2020-09-02,3,15,15,0,25,25,25,0,10,10,10,0,5,5,5,0
2020-09-03,13,28,28,0,0,25,25,0,19,19,19,0,9,9,9,0
2020-09-04,9,37,37,0,113,138,138,0,22,22,22,0,15,15,15,0
2020-09-05,2,39,39,0,0,138,138,0,22,22,22,0,17,17,17,0
2020-09-06,6,45,45,0,23,161,161,0,25,25,25,0,20,20,20,0
2020-09-07,14,59,59,0,93,254,254,0,29,29,29,0,30,30,30,0
2020-09-08,12,71,71,0,184,438,438,0,41,41,41,0,30,30,30,0
2020-09-09,13,84,83,1,265,703,703,0,47,48,47,1,36,36,36,0
2020-09-10,12,96,95,1,118,821,821,0,57,58,57,1,38,38,38,0
2020-09-11,6,102,101,1,72,893,893,0,60,61,60,1,41,41,41,0
2020-09-12,3,105,100,5,44,937,937,0,59,63,59,4,41,42,41,1
2020-09-13,1,106,101,5,45,982,982,0,60,64,60,4,41,42,41,1
2020-09-14,11,117,112,5,109,1091,1091,0,66,70,66,4,46,47,46,1
2020-09-15,7,124,114,10,76,1167,1095,72,64,73,64,9,50,51,50,1
2020-09-16,11,135,122,13,197,1364,1244,120,65,77,65,12,57,58,57,1
2020-09-17,6,141,122,19,178,1542,1336,206,65,81,65,16,57,60,57,3
2020-09-18,7,148,111,37,48,1590,1288,302,54,84,54,30,57,64,57,7
2020-09-19,4,152,108,44,61,1651,1019,632,52,85,52,33,56,67,56,11
2020-09-20,4,156,110,46,16,1667,955,712,51,86,51,35,59,70,59,11
2020-09-21,8,164,106,58,407,2074,1026,1048,49,91,49,42,57,73,57,16
2020-09-22,8,172,100,72,44,2118,1022,1096,46,94,46,48,54,78,54,24
2020-09-23,9,181,102,79,48,2166,1002,1164,46,101,46,55,56,80,56,24
2020-09-24,8,189,101,88,130,2296,889,1407,46,106,46,60,55,83,55,28
2020-09-25,9,198,105,93,139,2435,1008,1427,51,114,51,63,54,84,54,30
2020-09-26,1,199,92,107,28,2463,687,1776,46,114,46,68,46,85,46,39
2020-09-27,3,202,90,112,0,2463,490,1973,43,115,43,72,47,87,47,40
2020-09-28,14,216,101,115,183,2646,548,2098,46,119,46,73,55,97,55,42
2020-09-29,6,222,102,120,24,2670,572,2098,43,121,43,78,59,101,59,42
2020-09-30,13,235,110,125,127,2797,671,2126,50,128,50,78,60,107,60,47
2020-10-01,11,246,119,127,72,2869,696,2173,54,133,54,79,65,113,65,48
2020-10-02,6,252,123,129,72,2941,695,2246,56,136,56,80,67,116,67,49
2020-10-03,7,259,118,141,106,3047,749,2298,53,140,53,87,65,119,65,54
2020-10-04,10,269,116,153,82,3129,701,2428,52,145,52,93,64,124,64,60
2020-10-05,45,314,151,163,247,3376,796,2580,66,167,66,101,85,147,85,62
2020-10-06,15,329,154,175,182,3558,909,2649,63,174,63,111,91,155,91,64
2020-10-07,23,352,172,180,315,3873,1198,2675,72,184,72,112,100,168,100,68
2020-10-08,33,385,199,186,378,4251,1550,2701,88,202,88,114,111,183,111,72
2020-10-09,26,411,220,191,514,4765,1936,2829,94,211,94,117,126,200,126,74
2020-10-10,14,425,217,208,127,4892,1750,3142,97,220,97,123,120,205,120,85
2020-10-11,16,441,229,212,107,4999,1695,3304,100,224,100,124,129,217,129,88
2020-10-12,67,508,286,222,781,5780,2274,3506,115,244,115,129,171,264,171,93
2020-10-13,46,554,324,230,336,6116,2541,3575,126,260,126,134,198,294,198,96
2020-10-14,45,599,363,236,475,6591,2996,3595,139,278,139,139,224,321,224,97
2020-10-15,54,653,399,254,714,7305,3442,3863,148,298,148,150,251,355,251,104
2020-10-16,59,712,429,283,548,7853,3598,4255,156,325,156,169,273,387,273,114
2020-10-17,31,743,421,322,46,7899,2876,5023,148,340,148,192,273,403,273,130
2020-10-18,37,780,442,338,18,7917,2405,5512,147,347,147,200,295,433,295,138
2020-10-19,122,902,467,435,417,8334,1303,7031,81,366,81,285,386,536,386,150
2020-10-20,100,1002,555,447,269,8603,1572,7031,91,379,91,288,464,623,464,159
2020-10-21,68,1070,616,454,528,9131,2003,7128,99,388,99,289,517,682,517,165
2020-10-22,67,1137,668,469,931,10062,2586,7476,104,399,104,295,564,738,564,174
2020-10-23,86,1223,739,484,395,10457,2850,7607,111,408,111,297,628,815,628,187
2020-10-24,51,1274,689,585,44,10501,1728,8773,84,411,84,327,605,863,605,258
2020-10-25,28,1302,701,601,17,10518,1703,8815,83,414,83,331,618,888,618,270
2020-10-26,144,1446,809,637,108,10626,1599,9027,79,421,79,342,730,1025,730,295
2020-10-27,56,1502,835,667,17,10643,1536,9107,75,425,75,350,760,1077,760,317
2020-10-28,59,1561,874,687,0,10643,1520,9123,78,431,78,353,796,1130,796,334
