ZAVSIF;MAP
121;https://www.openstreetmap.org/way/343747815
118;https://www.openstreetmap.org/way/367148044
115;https://www.openstreetmap.org/way/481318950
117;https://www.openstreetmap.org/way/244617847
10609;https://www.openstreetmap.org/way/413192283
22415;https://www.openstreetmap.org/way/452136964
177;https://www.openstreetmap.org/way/732161828
351;https://www.openstreetmap.org/way/224943733
249;https://www.openstreetmap.org/node/1845074348
502;https://www.openstreetmap.org/way/389909402
436;https://www.openstreetmap.org/way/325693474
146;https://www.openstreetmap.org/way/896701409
437;https://www.openstreetmap.org/way/333170178
535;https://www.openstreetmap.org/way/206344387
510;https://www.openstreetmap.org/way/323772104
552;https://www.openstreetmap.org/way/348012848
362;https://www.openstreetmap.org/relation/3887612
322;https://www.openstreetmap.org/way/40237528
323;https://www.openstreetmap.org/way/175986892
124;https://www.openstreetmap.org/way/328366758
601;https://www.openstreetmap.org/way/356468139
122;https://www.openstreetmap.org/relation/7252560
129;https://www.openstreetmap.org/way/729691052
127;https://www.openstreetmap.org/way/674040479
125;https://www.openstreetmap.org/way/416481235
126;https://www.openstreetmap.org/way/816412146
128;https://www.openstreetmap.org/way/631638427
353;https://www.openstreetmap.org/way/256186920
134;https://www.openstreetmap.org/way/341857736
135;https://www.openstreetmap.org/way/482796883
136;https://www.openstreetmap.org/way/356276501
133;https://www.openstreetmap.org/way/474597162
132;https://www.openstreetmap.org/way/896707801
137;https://www.openstreetmap.org/way/485049622
130;https://www.openstreetmap.org/node/4269929890
131;https://www.openstreetmap.org/way/412698161
1341;https://www.openstreetmap.org/way/896893600
232;https://www.openstreetmap.org/way/120426378
145;https://www.openstreetmap.org/way/338644655
144;https://www.openstreetmap.org/way/476018344
189;https://www.openstreetmap.org/way/454568315
251;https://www.openstreetmap.org/way/336780814
418;https://www.openstreetmap.org/way/777465776
1351;https://www.openstreetmap.org/way/307463034
444;https://www.openstreetmap.org/way/454495011
155;https://www.openstreetmap.org/way/830251474
151;https://www.openstreetmap.org/way/688488024
150;https://www.openstreetmap.org/way/686941706
154;https://www.openstreetmap.org/way/830127675
156;https://www.openstreetmap.org/way/493425328
414;https://www.openstreetmap.org/way/424388891
458;https://www.openstreetmap.org/way/483057452
598;https://www.openstreetmap.org/way/633847476
180;https://www.openstreetmap.org/way/331094079
326;https://www.openstreetmap.org/node/870914604
325;https://www.openstreetmap.org/way/447962634
273;https://www.openstreetmap.org/way/529714337
163;https://www.openstreetmap.org/way/377724638
10549;https://www.openstreetmap.org/relation/5301425
166;https://www.openstreetmap.org/way/407556347
159;https://www.openstreetmap.org/node/719169605
160;https://www.openstreetmap.org/way/418965145
413;https://www.openstreetmap.org/way/329234371
168;https://www.openstreetmap.org/node/1328822811
573;https://www.openstreetmap.org/way/87901185
574;https://www.openstreetmap.org/way/772867028
488;https://www.openstreetmap.org/way/328930598
1315;https://www.openstreetmap.org/way/339750699
416;https://www.openstreetmap.org/way/373291799
171;https://www.openstreetmap.org/way/489932963
346;https://www.openstreetmap.org/way/318988092
356;https://www.openstreetmap.org/way/336133582
178;https://www.openstreetmap.org/way/165813885
23155;https://www.openstreetmap.org/way/334764217
421;https://www.openstreetmap.org/way/370634211
575;https://www.openstreetmap.org/node/1950964181
577;https://www.openstreetmap.org/way/445757857
181;https://www.openstreetmap.org/way/322425647
422;https://www.openstreetmap.org/way/229430474
261;https://www.openstreetmap.org/way/319997020
472;https://www.openstreetmap.org/way/822163285
1233;https://www.openstreetmap.org/way/374852054
390;https://www.openstreetmap.org/way/334837193
393;https://www.openstreetmap.org/way/335753632
586;https://www.openstreetmap.org/way/712704190
583;https://www.openstreetmap.org/way/712704190
399;https://www.openstreetmap.org/way/756065391
396;https://www.openstreetmap.org/way/366017996
400;https://www.openstreetmap.org/way/284836109
398;https://www.openstreetmap.org/node/3370899553
404;https://www.openstreetmap.org/way/368952345
405;https://www.openstreetmap.org/way/359817279
501;https://www.openstreetmap.org/way/561222705
427;https://www.openstreetmap.org/node/3039079044
475;https://www.openstreetmap.org/way/841720865
551;https://www.openstreetmap.org/way/326906512
402;https://www.openstreetmap.org/way/351232060
401;https://www.openstreetmap.org/way/528214529
406;https://www.openstreetmap.org/way/203692952
550;https://www.openstreetmap.org/way/513508658
231;https://www.openstreetmap.org/way/263856099
442;https://www.openstreetmap.org/way/375846517
410;https://www.openstreetmap.org/way/200056517
407;https://www.openstreetmap.org/way/169590772
408;https://www.openstreetmap.org/way/169590772
345;https://www.openstreetmap.org/node/3148763929
578;https://www.openstreetmap.org/way/365397007
1229;https://www.openstreetmap.org/way/486566210
388;https://www.openstreetmap.org/way/392917794
387;https://www.openstreetmap.org/way/365319100
