ZAVSIF	SLID	ZAVNAZIV
10167	12630	Osnovna Ĺˇola Karla Destovnika-Kajuha Ĺ oĹˇtanj
1029	60022	Osnovna Ĺˇola Gradec
1030	60023	Osnovna Ĺˇola Gradec
3629	60024	Osnovna Ĺˇola Gradec
1053	40010	Osnovna Ĺˇola Livade - Izola
657	1035	Osnovna Ĺˇola Dobravlje
658	1032	Osnovna Ĺˇola Dobravlje
666	1030	Osnovna Ĺˇola Dobravlje
660	136011	Osnovna Ĺˇola Draga Bajca Vipava
661	136012	Osnovna Ĺˇola Draga Bajca Vipava
1206	103020	Osnovna Ĺˇola PreĹľihovega Voranca Jesenice
1207	53010	Osnovna Ĺˇola Josipa Vandota Kranjska Gora
645	1021	Osnovna Ĺˇola Col
1217	129030	Osnovna Ĺˇola Ivana Cankarja Trbovlje
1218	129020	Osnovna Ĺˇola TonÄŤke ÄŚeÄŤ Trbovlje
1238	64020	Osnovna Ĺˇola Rovte
1241	120040	Osnovna Ĺˇola HruĹˇevec Ĺ entjur
1259	43041	Osnovna Ĺˇola Ĺ martno v Tuhinju
3702	43042	Osnovna Ĺˇola Ĺ martno v Tuhinju
3703	43043	Osnovna Ĺˇola Ĺ martno v Tuhinju
126	9070	Osnovna Ĺˇola Maksa PleterĹˇnika PiĹˇece
127	9050	Osnovna Ĺˇola dr. JoĹľeta ToporiĹˇiÄŤa Dobova
1308	32011	Osnovna Ĺˇola Brinje Grosuplje
131	11080	Osnovna Ĺˇola Lava Celje
1342	99010	Javni zavod Osnovna Ĺˇola Marjana Nemca RadeÄŤe
1344	41010	Osnovna Ĺˇola KoroĹˇka Bela Jesenice
1345	41030	Osnovna Ĺˇola Toneta ÄŚufarja Jesenice
1351	131010	Osnovna Ĺˇola PreĹľihovega Voranca Bistrica
1353	57010	Osnovna Ĺˇola Antona AĹˇkerca Rimske Toplice
1354	57011	Osnovna Ĺˇola Antona AĹˇkerca Rimske Toplice
1356	57012	Osnovna Ĺˇola Antona AĹˇkerca Rimske Toplice
3752	57013	Osnovna Ĺˇola Antona AĹˇkerca Rimske Toplice
137	11060	Osnovna Ĺˇola Frana RoĹˇa Celje
649	139032	Osnovna Ĺˇola Vojnik
142	139020	Osnovna Ĺˇola Antona BezenĹˇka Frankolovo
146	150010	Osnovna Ĺˇola Toneta Ĺ raja AljoĹˇe
148	65010	Osnovna Ĺˇola heroja Janeza Hribarja Stari trg pri LoĹľu
150	17020	Osnovna Ĺˇola Mirana Jarca ÄŚrnomelj
151	17010	Osnovna Ĺˇola Loka ÄŚrnomelj
157	68010	Osnovna Ĺˇola Janka Kersnika Brdo
159	23040	Osnovna Ĺˇola Rodica
160	23050	Osnovna Ĺˇola Venclja Perka
644	23011	Osnovna Ĺˇola Dob
167	77010	Osnovna Ĺˇola Jurija Vege
170	29020	Osnovna Ĺˇola dr. Antona Trstenjaka Negova
175	100020	Osnovna Ĺˇola Kajetana KoviÄŤa Radenci
17510	61271	Osnovna Ĺˇola KaĹˇelj
1037	32023	Osnovna Ĺˇola Louisa AdamiÄŤa Grosuplje
1038	32022	Osnovna Ĺˇola Louisa AdamiÄŤa Grosuplje
179	39010	Osnovna Ĺˇola Ferda Vesela Ĺ entvid pri StiÄŤni
683	39022	Osnovna Ĺˇola Ferda Vesela Ĺ entvid pri StiÄŤni
181	34010	Osnovna Ĺˇola narodnega heroja Rajka Hrastnik
3548	34011	Osnovna Ĺˇola narodnega heroja Rajka Hrastnik
191	38060	Osnovna Ĺˇola Rudolfa UkoviÄŤa Podgrad
194	38070	Osnovna Ĺˇola Toneta TomĹˇiÄŤa KneĹľak
913	43011	Osnovna Ĺˇola Frana Albrehta Kamnik
914	43012	Osnovna Ĺˇola Frana Albrehta Kamnik
915	43013	Osnovna Ĺˇola Frana Albrehta Kamnik
916	43014	Osnovna Ĺˇola Frana Albrehta Kamnik
201	43050	Osnovna Ĺˇola Toma Brejca Kamnik
907	43031	Osnovna Ĺˇola Stranje
687	50101	Osnovna Ĺˇola Elvire Vatovec Prade - Koper
220	50030	Osnovna Ĺˇola dr. AleĹˇ Bebler - PrimoĹľ Hrvatini
992	52011	Osnovna Ĺˇola Franceta PreĹˇerna Kranj
1358	52034	Osnovna Ĺˇola Simona Jenka Kranj
976	52033	Osnovna Ĺˇola Simona Jenka Kranj
977	52031	Osnovna Ĺˇola Simona Jenka Kranj
978	52032	Osnovna Ĺˇola Simona Jenka Kranj
22415	50031	Osnovna Ĺˇola in vrtec Ankaran
987	52041	Osnovna Ĺˇola StraĹľiĹˇÄŤe Kranj
990	52042	Osnovna Ĺˇola StraĹľiĹˇÄŤe Kranj
991	52043	Osnovna Ĺˇola StraĹľiĹˇÄŤe Kranj
228	52080	Osnovna Ĺˇola Predoslje Kranj
231	95010	Osnovna Ĺˇola Matije Valjavca Preddvor
981	95012	Osnovna Ĺˇola Matije Valjavca Preddvor
23155	32030	Osnovna Ĺˇola Ĺ marje - Sap
232	12010	Osnovna Ĺˇola Davorina Jenka Cerklje na Gorenjskem
3561	12011	Osnovna Ĺˇola Davorina Jenka Cerklje na Gorenjskem
1337	117011	Osnovna Ĺˇola Ĺ enÄŤur
982	117013	Osnovna Ĺˇola Ĺ enÄŤur
234	54030	Osnovna Ĺˇola Jurija Dalmatina KrĹˇko
239	54010	Osnovna Ĺˇola Adama BohoriÄŤa Brestanica
242	54020	Osnovna Ĺˇola JoĹľeta Gorjupa Kostanjevica na Krki
248	181010	Osnovna Ĺˇola Sveta Ana
250	58020	Osnovna Ĺˇola in vrtec Sveta Trojica
251	153010	Osnovna Ĺˇola Cerkvenjak - Vitomarci
253	59010	DvojeziÄŤna osnovna Ĺˇola I Lendava
260	15020	Osnovna Ĺˇola Franceta PreĹˇerna ÄŚrenĹˇovci
262	60010	Osnovna Ĺˇola Gabrovka - Dole
707	60011	Osnovna Ĺˇola Gabrovka - Dole
745	60044	Osnovna Ĺˇola Ĺ martno
16431	61040	Osnovna Ĺˇola Danile Kumar
268	61050	Osnovna Ĺˇola dr. Vita Kraigherja Ljubljana
272	61180	Osnovna Ĺˇola narodnega heroja Maksa PeÄŤarja
1272	22011	Osnovna Ĺˇola Janka Modra Dol pri Ljubljani
273	22010	Osnovna Ĺˇola Janka Modra Dol pri Ljubljani
275	61170	Osnovna Ĺˇola Majde Vrhovnik Ljubljana
279	61260	Osnovna Ĺˇola Poljane Ljubljana
283	61400	Osnovna Ĺˇola Vide Pregarc Ljubljana
285	61190	Osnovna Ĺˇola Martina Krpana Ljubljana
288	61110	Osnovna Ĺˇola Karla Destovnika Kajuha Ljubljana
295	61090	Osnovna Ĺˇola Hinka Smrekarja Ljubljana
297	61410	Osnovna Ĺˇola ViĹľmarje - Brod
